0.18817E+01	0.00000E+00	0.31400E+03	0.13000E+02	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.18860E+01	0.00000E+00	0.15500E+03	0.20000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.18916E+01	0.00000E+00	0.92000E+02	0.10000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.18969E+01	0.00000E+00	0.70000E+02	0.10000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19013E+01	0.00000E+00	0.52800E+02	0.60000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19079E+01	0.00000E+00	0.42500E+02	0.40000E+00	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19114E+01	0.00000E+00	0.37400E+02	0.23000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19151E+01	0.00000E+00	0.33900E+02	0.20000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19229E+01	0.00000E+00	0.28500E+02	0.13000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19249E+01	0.00000E+00	0.27700E+02	0.13000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19357E+01	0.00000E+00	0.24800E+02	0.80000E+00	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19474E+01	0.00000E+00	0.25200E+02	0.12000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19547E+01	0.00000E+00	0.26100E+02	0.10000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19597E+01	0.00000E+00	0.23200E+02	0.19000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19641E+01	0.00000E+00	0.24400E+02	0.24400E+00	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19778E+01	0.00000E+00	0.25800E+02	0.20000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19865E+01	0.00000E+00	0.22400E+02	0.90000E+00	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.19950E+01	0.00000E+00	0.22400E+02	0.18000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.20037E+01	0.00000E+00	0.22600E+02	0.13000E+01	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
0.20057E+01	0.00000E+00	0.23700E+02	0.21300E+00	0.00000E+00	0.00000E+00	PP_TOTAL.DAT
